 ,problem,size,size_cat,solver,budget,dist_type,name_type,rep,fx,norm_fx,pheno
164,OneMax,8,small,genetic_algorithm,20,coarse,lin,4,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
165,OneMax,8,small,genetic_algorithm,20,coarse,lin,5,6.0,0.49685534591194963,"[1, 1, 1, 0, 1, 1, 0, 1]"
166,OneMax,8,small,genetic_algorithm,20,coarse,lin,6,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
167,OneMax,8,small,genetic_algorithm,20,coarse,lin,7,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 0, 1]"
168,OneMax,8,small,genetic_algorithm,20,coarse,lin,8,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 1, 0]"
169,OneMax,8,small,genetic_algorithm,20,coarse,lin,9,6.0,0.49685534591194963,"[1, 1, 0, 1, 1, 1, 0, 1]"
170,OneMax,8,small,genetic_algorithm,20,coarse,lin,10,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
171,OneMax,8,small,genetic_algorithm,20,coarse,lin,11,6.0,0.49685534591194963,"[0, 1, 1, 0, 1, 1, 1, 1]"
172,OneMax,8,small,genetic_algorithm,20,coarse,lin,12,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
173,OneMax,8,small,genetic_algorithm,20,coarse,lin,13,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
174,OneMax,8,small,genetic_algorithm,20,coarse,lin,14,6.0,0.49685534591194963,"[1, 1, 1, 0, 1, 0, 1, 1]"
175,OneMax,8,small,genetic_algorithm,20,coarse,lin,15,6.0,0.49685534591194963,"[1, 1, 0, 1, 1, 1, 0, 1]"
176,OneMax,8,small,genetic_algorithm,20,coarse,lin,16,6.0,0.49685534591194963,"[1, 0, 1, 0, 1, 1, 1, 1]"
177,OneMax,8,small,genetic_algorithm,20,coarse,lin,17,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 1, 0]"
